state,date,total
AK,20200306,9
AK,20200307,14
AK,20200308,20
AK,20200309,32
AK,20200310,32
AK,20200311,60
AK,20200312,60
AK,20200313,60
AK,20200314,144
AK,20200315,144
AK,20200316,144
AK,20200317,337
AK,20200318,412
AK,20200319,406
AK,20200320,698
AK,20200321,772
AK,20200322,968
AK,20200323,968
AK,20200324,1022
AK,20200325,1691
AL,20200307,0
AL,20200308,0
AL,20200309,0
AL,20200310,0
AL,20200311,10
AL,20200312,10
AL,20200313,12
AL,20200314,74
AL,20200315,86
AL,20200316,96
AL,20200317,64
AL,20200318,74
AL,20200319,96
AL,20200320,109
AL,20200321,152
AL,20200322,1602
AL,20200323,1832
AL,20200324,2321
AL,20200325,2812
AR,20200306,6
AR,20200307,6
AR,20200308,6
AR,20200309,12
AR,20200310,15
AR,20200311,26
AR,20200312,50
AR,20200313,61
AR,20200314,103
AR,20200315,149
AR,20200316,168
AR,20200317,260
AR,20200318,319
AR,20200319,469
AR,20200320,650
AR,20200321,839
AR,20200322,995
AR,20200323,1080
AR,20200324,1165
AR,20200325,1717
AS,20200316,0
AS,20200317,0
AS,20200318,0
AS,20200319,0
AS,20200320,0
AS,20200321,0
AS,20200322,0
AS,20200323,0
AS,20200324,0
AS,20200325,0
AZ,20200304,34
AZ,20200305,36
AZ,20200306,51
AZ,20200307,56
AZ,20200308,56
AZ,20200309,56
AZ,20200310,84
AZ,20200311,100
AZ,20200312,115
AZ,20200313,143
AZ,20200314,183
AZ,20200315,183
AZ,20200316,206
AZ,20200317,228
AZ,20200318,278
AZ,20200319,349
AZ,20200320,377
AZ,20200321,466
AZ,20200322,521
AZ,20200323,580
AZ,20200324,692
AZ,20200325,826
CA,20200304,515
CA,20200305,515
CA,20200306,522
CA,20200307,531
CA,20200308,550
CA,20200309,804
CA,20200310,823
CA,20200311,1073
CA,20200312,1118
CA,20200313,1118
CA,20200314,1168
CA,20200315,1209
CA,20200316,8316
CA,20200317,8407
CA,20200318,8592
CA,20200319,9711
CA,20200320,11487
CA,20200321,12528
CA,20200322,12840
CA,20200323,26400
CA,20200324,27654
CA,20200325,27654
CO,20200305,40
CO,20200306,78
CO,20200307,132
CO,20200308,112
CO,20200309,142
CO,20200310,155
CO,20200311,279
CO,20200312,343
CO,20200313,596
CO,20200314,711
CO,20200315,758
CO,20200316,758
CO,20200317,1216
CO,20200318,1800
CO,20200319,2328
CO,20200320,2952
CO,20200321,3680
CO,20200322,4550
CO,20200323,5436
CO,20200324,6224
CO,20200325,7701
CT,20200307,0
CT,20200308,38
CT,20200309,47
